table,rows_in_prod,rows_in_perf
admin_user,639,11
bulk_license_upload_log,58635,0
canvas_institution,4690,12208
consumer_contact_details,309,76
core_account,755235,1896624
course,34254,52326
course_content_export_job,1361,17204
course_section,37224,95135
course_section_enrollment,252296,2714545
course_setup_job,36025,55716
databasechangelog,448,447
databasechangeloglock,1,1
ecore_mq_log,146528,234843
eloqua_integration_log,8075,304
external_course,6268,6845
external_course_section,8841,39
external_course_section_enrollment,193274,2409
external_user,146189,35253
external_user_license_map,10635,3906
institution,14208,14050
institution_dupe,0,0
institution_license_map,208,366
instructor_course_map,0,1
license,451536,583705
license_notification,166405,0
lms_api_provider,35,0
lms_setting_user_profile_map,0,0
login_activation,404812,2077394
lti_consumer,2557,5044
lti_consumer_advantage_map,0,0
lti_consumer_setting,3,3
lti_consumer_setting_value,95,1
reset_password_link,92004,10924
shedlock,5,5
term,36,14
timezone_map,158,156
transaction_log,31506,967954
user_institution_map,754290,2077554
user_license_map,438777,579433
user_login,769558,2077512
user_profile,768306,2077494
